CRICOS Provider Code,Institution Name,Location Name,Location Type,Address Line 1,Address Line 2,Address Line 3,Address Line 4,City,State,Postcode
00861K,Department of Education,Taylors Lakes Primary School,Location owned and operated by provider,21-35 Chichester Drive,,,,TAYLORS LAKES,VIC,3038
00861K,Department of Education,Templestowe College,Location owned and operated by provider,7 Cypress Avenue,,,,TEMPLESTOWE LOWER,VIC,3107
00861K,Department of Education,The Grange P-12 College,Location owned and operated by provider,30 Deloraine Drive,,,,HOPPERS CROSSING,VIC,3029
00861K,Department of Education,Thornbury High School,Location owned and operated by provider,238 Collins Street,,,,THORNBURY,VIC,3071
00861K,Department of Education,University High School,Location owned and operated by provider,77 Story Street,,,,PARKVILLE,VIC,3052
00861K,Department of Education,Upper Ferntree Gully Primary School,Location owned and operated by provider,Talaskia Road,,,,Upper Ferntree Gully,VIC,3156
00861K,Department of Education,Vermont Secondary College,Location owned and operated by provider,27 - 63 Morack Road,,,,VERMONT,VIC,3133
00861K,Department of Education,Victoria University Secondary College,Location owned and operated by provider,5A Jamieson Street,,,,ST ALBANS,VIC,3021
00861K,Department of Education,Victorian College Of The Arts Secondary School,Location owned and operated by provider,57 Miles Street,,,,SOUTHBANK,VIC,3006
00861K,Department of Education,Viewbank College,Location owned and operated by provider,Warren Road,,,,ROSANNA,VIC,3084
00861K,Department of Education,Wantirna College,Location owned and operated by provider,90 Harold Street,,,,WANTIRNA,VIC,3152
00861K,Department of Education,Wantirna Primary School,Location owned and operated by provider,120 Mountain Highway,,,,WANTIRNA,VIC,3152
00861K,Department of Education,Warrandyte High School,Location owned and operated by provider,241-247 Heidelberg-Warrandyte Rd,,,,WARRANDYTE,VIC,3113
00861K,Department of Education,Waverley Meadows Primary School,Location owned and operated by provider,11-27 Columbia Drive,,,,Wheelers Hill,VIC,3150
00861K,Department of Education,Wellington Secondary College,Location owned and operated by provider,91 Police Road,,,,MULGRAVE,VIC,3170
00861K,Department of Education,Werribee Secondary College,Location owned and operated by provider,45 Duncans Road,,,,WERRIBEE,VIC,3030
00861K,Department of Education,Westall Primary School,Location owned and operated by provider,Fairbank Road,,,,CLAYTON SOUTH,VIC,3169
00861K,Department of Education,Westall Secondary College,Location owned and operated by provider,88-128 Rosebank Avenue,,,,CLAYTON SOUTH,VIC,3169
00861K,Department of Education,Wheelers Hill Secondary College,Location owned and operated by provider,2-28 Raphael Drive,,,,WHEELERS HILL,VIC,3150
00861K,Department of Education,Williamstown High School,Location owned and operated by provider,76 Pasco Street,,,,WILLIAMSTOWN,VIC,3016
00861K,Department of Education,Wodonga Middle Years College,Location owned and operated by provider,22-24 Mitchell Street,,,,WODONGA,VIC,3690
00861K,Department of Education,Wodonga Senior Secondary College,Location owned and operated by provider,80 Brockley Street,,,,WODONGA,VIC,3690
00861K,Department of Education,Yarra Primary School,Location owned and operated by provider,68-76 Davison Street,,,,RICHMOND,VIC,3121
00871G,MERCY EDUCATION LIMITED,St Aloysius College,Location owned and operated by provider,31 Curran St,,,,NORTH MELBOURNE,VIC,3051
00874E,St Joseph's College,St Joseph's College - Ferntree Gully,Location owned and operated by provider,5 Brenock Park Dr,,,,FERNTREE GULLY,VIC,3156
00878A,Lutheran Church of Australia - Queensland District,"251 Cotlew Street, Ashmore",Location owned and operated by provider,251 Cotlew St,,,,ASHMORE,QLD,4214
00878A,Lutheran Church of Australia - Queensland District,Trinity Lutheran College,Location owned and operated by provider,641 Ashmore Rd,,,,ASHMORE,QLD,4214
00881F,Chisholm Institute,Berwick Campus - 25 Kangan Drive,Location owned and operated by provider,25 Kangan Dr,,,,BERWICK,VIC,3806
00881F,Chisholm Institute,Cranbourne Campus - New Holland Drive,Location owned and operated by provider,2 New Holland Dr,,,,CRANBOURNE,VIC,3977
00881F,Chisholm Institute,Dandenong Campus - 121 Stud Road,Location owned and operated by provider,121 Stud Rd,,,,DANDENONG,VIC,3175
00881F,Chisholm Institute,Dandenong Campus - 311 Lonsdale Street,Location owned and operated by provider,311 Lonsdale St,,,,Dandenong,VIC,3175
00881F,Chisholm Institute,Frankston Campus - Fletcher Road,Location owned and operated by provider,25 Fletcher Rd,,,,FRANKSTON,VIC,3199
00897J,The Pittwater House Schools Ltd,Pittwater House Schools,Location owned and operated by provider,Westmoreland Ave,,,,COLLAROY,NSW,2097
00898G,Holmes Commercial Colleges (Melbourne) Limited,Holmes Commercial Colleges Melbourne Limited,Location owned and operated by provider,185 Spring St,,,,MELBOURNE,VIC,3000
00899G,Whitecliffe Institute of Creative Arts and Technology Pty,"55 Regent St, Chippendale NSW 2008",Location owned and operated by provider,55 Regent Street,,,,Chippendale,NSW,2008
00902F,A B Paterson College Limited,A.B. Paterson College Ltd,Location owned and operated by provider,A B Paterson Dr,,,,Arundel,QLD,4214
00909K,Brisbane Christian College,Brisbane Christian College (Middle & Secondary Campus),Location owned and operated by provider,63 Fairlie Tce,,,,Salisbury,QLD,4107
00909K,Brisbane Christian College,Brisbane Christian College (Primary Campus),Location owned and operated by provider,109 Golda Ave,,,,SALISBURY,QLD,4107
00917K,Western Sydney University,ATMC- Melbourne,Arrangement with other registered provider,470 Bourke Street,,,,Melbourne,VIC,3000
00917K,Western Sydney University,Western Sydney University - Bankstown City,Location owned and operated by provider,74 Rickard Rd,,,,Bankstown,NSW,2200
00917K,Western Sydney University,Western Sydney University - Campbelltown,Location owned and operated by provider,Narellan Rd,,,,Campbelltown,NSW,2560
00917K,Western Sydney University,Western Sydney University - Hawkesbury,Location owned and operated by provider,"Student Centre, Building G7",Bourke St,,,RICHMOND,NSW,2753
00917K,Western Sydney University,Western Sydney University - Liverpool,Location owned and operated by provider,100 Macquarie St,,,,Liverpool,NSW,2170
00917K,Western Sydney University,Western Sydney University - Parramatta,Location owned and operated by provider,Cnr of Victoria Rd & James Ruse Dr,,,,Parramatta,NSW,2150
00917K,Western Sydney University,Western Sydney University - Parramatta City,Location owned and operated by provider,"169 Macquarie St,",100 George Street,6 Hassall Street,,Parramatta,NSW,2150
00917K,Western Sydney University,Western Sydney University - Penrith,Location owned and operated by provider,"Student Centre, Building I",Second Ave,,,KINGSWOOD,NSW,2747
00917K,Western Sydney University,Western Sydney University - Sydney City Campus,Arrangement with other registered provider,Level 4,255 Elizabeth St,,,Sydney,NSW,2000
00923A,Redlands College Ltd,Redlands College Ltd,Location owned and operated by provider,38 Anson Rd,,,,WELLINGTON ROAD,QLD,4160
00956C,Cass Training Pty Ltd,Cass Training International College,Location owned and operated by provider,48 Lime St,,,,SYDNEY,NSW,2000
00958A,Alphacrucis University College Limited,Alphacrucis College - 42 OKeefe Street,Location owned and operated by provider,42 OKeefe St,,,,WOOLLOONGABBA,QLD,4102
00958A,Alphacrucis University College Limited,Alphacrucis College - Baulkham Hills (Higher Ed) - Norwest Boulevard and Solent Circuit,Arrangement with other registered provider,cnr Norwest Boulevard and Solent Circuit,,,,BAULKHAM HILLS,NSW,2153
00958A,Alphacrucis University College Limited,"Alphacrucis College- 57 Darley Road, Paradise",Location owned and operated by provider,57 Darley Road,,,,Paradise,SA,5075
00958A,Alphacrucis University College Limited,Alphacrucis College Hobart,Arrangement with Non Registered Provider,45 Melville Street,,,,HOBART,TAS,7000
00958A,Alphacrucis University College Limited,Alphacrucis College Limited - 30 Cowper Street,Location owned and operated by provider,30 Cowper St,,,,PARAMATTA,NSW,2150
00958A,Alphacrucis University College Limited,Alphacrucis College Waterloo - 188 Young Street,Arrangement with other registered provider,188 Young St,,,,SYDNEY,NSW,2017
00958A,Alphacrucis University College Limited,"Level 4 350 Queen St, Melbourne VIC 3000",Arrangement with Non Registered Provider,350 Queen St,Level 4 ,,,Melbourne,VIC,3000
00959M,The Cathedral School of St Anne and St James,The Cathedral School,Location owned and operated by provider,Ross River Rd,,,,TOWNSVILLE,QLD,4810
00969J,Seventh-Day Adventist Schools (South Queensland) Ltd,Brisbane Adventist College,Location owned and operated by provider,303A Broadwater Rd,,,,MANSFIELD,QLD,4122
00971D,Haileybury Rendall School,Haileybury Rendall School,Location owned and operated by provider,Berrimah Rd,,,,BERRIMAH,NT,0828
00972C,Edmund Rice Education Australia Colleges Ltd,St Laurence's College,Location owned and operated by provider,82 Stephens Rd,,,,SOUTH BRISBANE,QLD,4101
00974A,The Ivanhoe Girls Grammar School,Ivanhoe Girls' Grammar School,Location owned and operated by provider,123 Marshall St,,,,Ivanhoe,VIC,3079
00977J,Melbourne Grammar School,Melbourne Grammar School,Location owned and operated by provider,355 St Kilda Rd,,,,MELBOURNE,VIC,3004
00978G,Seventh-Day Adventist Schools (Victoria) Limited,Gilson College,Location owned and operated by provider,450 Taylors Rd,,,,TAYLORS HILL,VIC,3037
00978G,Seventh-Day Adventist Schools (Victoria) Limited,Mernda Campus,Location owned and operated by provider,370 Bridge Inn Rd,,,,Mernda,VIC,3754
00979G,All Saints Anglican School Limited,All Saints Anglican School,Location owned and operated by provider,Highfield Dr,,,,Merrimac,QLD,4226
00986G,Perth Bible College (Inc),Perth Bible College (Inc),Location owned and operated by provider,1 College Ct,,,,Karrinyup,WA,6018
00992K,Australian Islamic College (Perth) Inc,Australian Islamic College (Dianella),Location owned and operated by provider,81 Cleveland St,,,,DIANELLA,WA,6059
00992K,Australian Islamic College (Perth) Inc,Australian Islamic College (Forrestdale),Location owned and operated by provider,651 Nicholson Road,,,,Forrestdale,WA,6112
00992K,Australian Islamic College (Perth) Inc,Australian Islamic College (Henley Brook),Location owned and operated by provider,10 Asturian Drive,,,,Henley Brook,WA,6055
00992K,Australian Islamic College (Perth) Inc,Australian Islamic College (Kewdale),Location owned and operated by provider,139 President St,,,,KEWDALE,WA,6105
00992K,Australian Islamic College (Perth) Inc,Australian Islamic College (Thornlie),Location owned and operated by provider,17 Tonbridge Way,,,,THORNLIE,WA,6108
00993J,Whitsunday Anglican School Limited,Whitsunday Anglican School,Location owned and operated by provider,Celeber Dr,,,,BEACONSFILED,QLD,4740
00996F,Christian Outreach Centre,Citipointe Christian College,Location owned and operated by provider,322 Wecker Rd,,,,CARINDALE,QLD,4152
01016F,Christian Heritage College,Christian Heritage College,Location owned and operated by provider,322 Wecker Rd,,,,Carindale,QLD,4122
01020K,UNSW Global Pty Limited,UNSW College (Kensington),Location owned and operated by provider,Building L5 and Blockhouse,UNSW Sydney Campus,223 Anzac Pde,,KENSINGTON,NSW,2033
01022G,Korowa Anglican Girls School,Korowa Anglican Girls' School,Location owned and operated by provider,Ranfurlie Cres,,,,GLEN IRIS,VIC,3146
01031G,Rabbinical College of Australia and New Zealand,Rabbinical College of Australia and New Zealand,Location owned and operated by provider,67 Alexandra St,,,,EAST ST KILDA,VIC,3183
01032F,The University of Notre Dame Australia,The University of Notre Dame Australia - Broadway,Location owned and operated by provider,Pioneer House,128-140 Broadway,,,BROADWAY,NSW,2007
01032F,The University of Notre Dame Australia,The University of Notre Dame Australia - Broome,Location owned and operated by provider,88 Guy St,,,,Broome,WA,6725
01032F,The University of Notre Dame Australia,The University of Notre Dame Australia - Darlinghurst,Location owned and operated by provider,160 Oxford St,,,,Darlinghurst,NSW,2010
01032F,The University of Notre Dame Australia,The University of Notre Dame Australia - Fremantle,Location owned and operated by provider,19 Mouat St,,,,FREMANTLE,WA,6160
01037A,University of Divinity,Catholic Theological College,Location owned and operated by provider,278 Victoria Pde,,,,East Melbourne,VIC,3002
01037A,University of Divinity,Pilgrim Theological College,Location owned and operated by provider,29 College Cres,,,,Parkville,VIC,3052
01037A,University of Divinity,St Athanasius Coptic Orthodox Theological College,Location owned and operated by provider,100 Park Rd,,,,Donvale,VIC,3111
01037A,University of Divinity,St Barnabas College,Location owned and operated by provider,18 King William Rd,,,,North Adelaide,SA,5006
01037A,University of Divinity,Trinity College,Location owned and operated by provider,100 Royal Parade,,,,Parkville,VIC,3052
01037A,University of Divinity,Whitley College,Location owned and operated by provider,50 The Avenue,,,,Parkville,VIC,3052
01037A,University of Divinity,Yarra Theological Union,Location owned and operated by provider,98 Albion Road,,,,Box Hill,VIC,3128
01038M,Chabad Institutions of Victoria Limited,Chabad Institutions of Australia Inc,Location owned and operated by provider,88 Hotham St,,,,ST KILDA EAST,VIC,3183
01043C,Hillcrest Christian College Limited,Hillcrest Christian College Ltd,Location owned and operated by provider,21 Bridgman Dr,,,,REEDY CREEK,QLD,4228
01070M,EF International Language Schools Pty Ltd,164 Melbourne Street,Location owned and operated by provider,164 Melbourne St,,,,SOUTH BRISBANE,QLD,4101
01070M,EF International Language Schools Pty Ltd,20 Queen St PERTH WA 6000,Location owned and operated by provider,20 Queen St,,,,PERTH,WA,6000
01070M,EF International Language Schools Pty Ltd,53 Balfour St Chippendale NSW 2008,Location owned and operated by provider,53 Balfour St,,,,Chippendale,NSW,2008
01070M,EF International Language Schools Pty Ltd,EF International Language Schools (5 - 7 Young Street) (ELICOS Operations),Location owned and operated by provider,5 Young St,,,,SYDNEY,NSW,2000
01095B,Mueller College Ltd,Mueller College Limited,Location owned and operated by provider,75 Morris Rd,,,,Rothwell,QLD,4022
01097M,Nazareth College,Nazareth College,Location owned and operated by provider,Manning Park,,,,NOBLE PARK,VIC,3174
01100K,Girton Grammar School Ltd,Girton Grammar School,Location owned and operated by provider,105 Mackenzie St,,,,BENDIGO,VIC,3550
01102G,St Dominic's Priory College,St Dominic's Priory College,Location owned and operated by provider,139 Molesworth St,,,,North Adelaide,SA,5006
01108B,Australian Academy of Music and Performing Arts,AMPA Surry Hills,Location owned and operated by provider,136 Chalmers St,,,,Surry Hills,NSW,2010
01194K,St Aidan's School Council Ltd,St Aidan's Anglican Girls School,Location owned and operated by provider,11 Ruthven St,,,,Corinda,QLD,4075
01218G,Bendigo Kangan Institute,Bendigo,Arrangement with other registered provider,136 McCrae St,,,,BENDIGO,VIC,3550
01218G,Bendigo Kangan Institute,Broadmeadows Campus,Location owned and operated by provider,59 Pearcadale Pde,,,,Broadmeadows,VIC,3047
01218G,Bendigo Kangan Institute,Charleston Road Campus,Location owned and operated by provider,62 Charleston Rd,,,,Bendigo,VIC,3550
01218G,Bendigo Kangan Institute,Docklands,Location owned and operated by provider,1 Batman's Hill Dr,,,,Docklands,VIC,3008
01218G,Bendigo Kangan Institute,Echuca Campus,Location owned and operated by provider,208 Darling St,,,,Echuca,VIC,3564
01218G,Bendigo Kangan Institute,Essendon,Location owned and operated by provider,38 Buckley St,,,,Essendon,VIC,3040
01218G,Bendigo Kangan Institute,Moonee Ponds Campus,Location owned and operated by provider,12 Hall St,,,,Moonee Ponds,VIC,3039
01218G,Bendigo Kangan Institute,Richmond,Location owned and operated by provider,85 Cremorne St,,,,Richmond,VIC,3121
01220B,Mackillop Catholic Regional College,MacKillop Catholic Regional College (St Mary's campus),Location owned and operated by provider,Cnr Whites & O'Connors Rd,,,,Werribee South,VIC,3030
01220B,Mackillop Catholic Regional College,Mackillop Catholic Regional College (Werribee),Location owned and operated by provider,Russell St,,,,WERRIBEE,VIC,3030
01241G,Southern Cross University (SCU),Coffs Harbour,Location owned and operated by provider,Coffs Harbour Education Campus,Hogbin Dr,,,Coffs Harbour,NSW,2457
01241G,Southern Cross University (SCU),Coomera,Arrangement with other registered provider,198 Foxwell Rd,,,,COOMERA,QLD,4209
01241G,Southern Cross University (SCU),Gold Coast Airport Development Park - Bilinga,Location owned and operated by provider,Gold Coast Aiport Development Park,144 Coolangatta Rd,,,BILINGA,QLD,4225
01241G,Southern Cross University (SCU),Lismore,Location owned and operated by provider,Military Rd,,,,EAST LISMORE,NSW,2480
01241G,Southern Cross University (SCU),National Marine Science Centre,Location owned and operated by provider,Bay Dr,Charlesworth Bay,,,COFFS HARBOUR,NSW,2457
01241G,Southern Cross University (SCU),SCU Perth,Arrangement with Non Registered Provider,Ground Floor and Level 1,297 Hay St,,,Perth,WA,6004
01241G,Southern Cross University (SCU),The Hotel School Brisbane,Arrangement with Non Registered Provider,"Level 13, 127 Creek St",,,,Brisbane,QLD,4000
01241G,Southern Cross University (SCU),The Hotel School Melbourne,Arrangement with Non Registered Provider,"Level 3, 399 Lonsdale St",,,,Melbourne,VIC,3000
01241G,Southern Cross University (SCU),The Hotel School Sydney,Arrangement with Non Registered Provider,"Ground floor and Level 1-3, 60 Phillip St",,,,SYDNEY,NSW,2000
01248A,Rivermount Education Ltd,Rivermount College,Location owned and operated by provider,Rivermount Dr,,,,Beenleigh,QLD,4207
01259J,JMC Pty Limited,"69 and 75 Grey St, Brisbane",Location owned and operated by provider,69 Grey St,,,,SOUTH BRISBANE,QLD,4101
01259J,JMC Pty Limited,Melbourne,Location owned and operated by provider,171 Bank St,,,,SOUTH MELBOURNE,VIC,3205
01259J,JMC Pty Limited,Sydney,Location owned and operated by provider,561 Harris St,,,,Ultimo,NSW,2007
01260E,Lutheran Church of Australia Queensland District,Peace Lutheran College,Location owned and operated by provider,Cowley St,,,,FRESHWATER,QLD,4870
01272A,Australian International College of Language Pty Ltd,Australian International College of Language Pty Ltd,Location owned and operated by provider,66 Marine Pde,,,,SOUTHPORT,QLD,4215
01294F,Canberra Girls' Grammar School,Canberra Girl's Grammar School,Location owned and operated by provider,Melbourne Ave,,,,DEAKIN,ACT,2600
01302M,Flight One Australia Pty Ltd,Australian Wings Academy Pty Ltd,Location owned and operated by provider,19 Lores Bonney Cct,,,,COOLANGATTA,QLD,4225
01302M,Flight One Australia Pty Ltd,Hangar 3,Location owned and operated by provider,4 Qantas Avenue,,,,Archerfield,QLD,4108
01307F,SA Adelaide Language Centre Ltd,15 Cross Rd URRBRAE SA 5064,Location owned and operated by provider,15 Cross Rd,,,,URRBRAE,SA,5064
01307F,SA Adelaide Language Centre Ltd,"98 Albion Road, Box Hill",Location owned and operated by provider,98 Albion Rd,,,,Box Hill,VIC,3128
01312J,Edith Cowan College Pty Ltd,"Edith Cowan College 10 Injune Way, Joondalup Campus",Arrangement with other registered provider,10 Injune Way,Building 80,ECU Joondalup Campus West,,Joondalup,WA,6027
01312J,Edith Cowan College Pty Ltd,Edith Cowan College Pty Ltd Mount Lawley Campus,Arrangement with other registered provider,Building 10,Mt Lawley Campus,2 Bradford St,,MOUNT LAWLEY,WA,6050
01317D,The Corporation of the Synod of the Diocese of Brisbane,St Luke's Anglican School,Location owned and operated by provider,4 Mezger St,,,,BUNDABERG,QLD,4670
01328A,ACAP University College,ACAP Adelaide Campus,Location owned and operated by provider,15-19 Franklin Street,,,,Adelaide,SA,5000
01328A,ACAP University College,ACAP Brisbane Campus,Location owned and operated by provider,41 Buchanan Street,(corner Jane Street and Riverside Drive),,,WEST END,QLD,4101
01328A,ACAP University College,ACAP Melbourne Campus,Location owned and operated by provider,"Level 3, 222 Bourke Street",,,,Melbourne,VIC,3000
01328A,ACAP University College,ACAP Perth Campus,Location owned and operated by provider,Level 3/116-120 Roe St,,,,Northbridge,WA,6003
01328A,ACAP University College,ACAP Sydney Campus,Location owned and operated by provider,"Levels 8, 11 and 12",255 Elizabeth St,,,SYDNEY,NSW,2000
01329M,The Corporation of the Synod of the Diocese of Brisbane,West Moreton Anglican College,Location owned and operated by provider,Keswick Rd,Karrabin,,,Ipswich,QLD,4306
01331F,Young Rabbit Pty Ltd,Australian Pacific College (Hickson Rd),Location owned and operated by provider,18 Hickson Rd,,,,DAWES POINT,NSW,2000
01331F,Young Rabbit Pty Ltd,Australian Pacific College (L1 King William St),Location owned and operated by provider,Level 1 29 King William St,,,,ADELAIDE,SA,5000
01331F,Young Rabbit Pty Ltd,Australian Pacific College (L1 Queen St),Location owned and operated by provider,"Level 1, 221 Queen Street",,,,MELBOURNE,VIC,3000
01331F,Young Rabbit Pty Ltd,Australian Pacific College (L3 Beach Rd),Location owned and operated by provider,9 Beach Rd,Level 3 ,,,SURFERS PARADISE,QLD,4217
01331F,Young Rabbit Pty Ltd,Australian Pacific College (L3 Clarence St),Location owned and operated by provider,123 Clarence St,Level 3,,,SYDNEY,NSW,2000
01331F,Young Rabbit Pty Ltd,Australian Pacific College (L9 Queen St),Location owned and operated by provider,221 Queen St,Level 9 ,,,MELBOURNE,VIC,3000
01331F,Young Rabbit Pty Ltd,"Australian Pacific College (L9,10,12,13 Albert St)",Location owned and operated by provider,138 Albert St,"Level 9, 10, 12, 13",,,BRISBANE,QLD,4000
01331F,Young Rabbit Pty Ltd,Australian Pacific College (LG Kent St),Location owned and operated by provider,189 Kent St,Level G,,,SYDNEY,NSW,2000
01331F,Young Rabbit Pty Ltd,Australian Pacific College (Sydney Rd) (RTO Operations),Location owned and operated by provider,48 Sydney Rd,,,Lot 98,MANLY,NSW,2095
01331F,Young Rabbit Pty Ltd,Australian Pacific College(L3 L5 WIlliam St Melbourne),Location owned and operated by provider,Level 3 and 5 255 William St,,,,MELBOURNE,VIC,3000
01351B,International College of Queensland Australia Pty Ltd,"Level 5, 138 Albert Street",Location owned and operated by provider,138 Albert St,Level 5,,,Brisbane,QLD,4000
01351B,International College of Queensland Australia Pty Ltd,Slacks Creek Campus - Unit 1 3431 Pacific Hwy SLACKS CREEK QLD,Location owned and operated by provider,Unit 1 3431 Pacific Hwy,,,,SLACKS CREEK,QLD,4127
01376D,Alphington Grammar School,Alphington Grammar School,Location owned and operated by provider,18 Old Heidelberg Rd,,,,ALPHINGTON,VIC,3078
01406C,FSAC Ltd,St John's Anglican College - Primary campus,Location owned and operated by provider,Alpine Pl,,,,FOREST LAKE,QLD,4078
01406C,FSAC Ltd,St John's Anglican College - Secondary campus,Location owned and operated by provider,College Ave,,,,FOREST LAKE,QLD,4078
01434K,Caloundra Christian College Limited,Caloundra Christian College Limited,Location owned and operated by provider,7 Gregson Pl,,,,CALOUNDRA,QLD,4551
01457C,Lutheran Church of Australia - Queensland District,Immanuel Lutheran College,Location owned and operated by provider,Wises Rd,,,,MAROOCHYDORE,QLD,4558
01461G,Nambour Christian College Ltd,Nambour Christian College,Location owned and operated by provider,McKenzie Rd,,,,WOOMBYE,QLD,4559
01484M,"International College of Management, Sydney Pty Limited","International College of Management (151 Darley Road, Manly)",Location owned and operated by provider,151 Darley Rd,,,,MANLY,NSW,2095
01484M,"International College of Management, Sydney Pty Limited","Manning Building, Level 4, 451 Pitt Street Sydney",Location owned and operated by provider,Level 4,451 Pitt St,,,Sydney,NSW,2000
01484M,"International College of Management, Sydney Pty Limited",Sydney Academy of Sport and Recreation,Location owned and operated by provider,Wakehurst Pkwy,,,,Narrabeen,NSW,2101
01488G,St Andrew's Grammar Inc.,Hellenic Community of WA Inc,Location owned and operated by provider,4 Hellenic Dr,,,,Dianella,WA,6062
01497F,Focal Holdings Pty Ltd,"44 Raymond Street, Bankstown NSW 2200",Location owned and operated by provider,44 Raymond Street,,,,BANKSTOWN,NSW,2200
01502C,Kardinia International College (Geelong) Ltd,Kardinia International College (Geelong) Ltd,Location owned and operated by provider,205 Ballarat Rd,,,,BELL POST HILL,VIC,3215
01505M,William Angliss Institute of TAFE,11 Bowden Street Alexandria NSW 2015,Location owned and operated by provider,11 Bowden St,,,,Alexandria,NSW,2015
01505M,William Angliss Institute of TAFE,William Angliss Institute of TAFE,Location owned and operated by provider,555 La Trobe St,,,,MELBOURNE,VIC,3000
01515J,QIBA Pty Ltd,Level 1 15 Moore Street,Location owned and operated by provider,"Level 1, 15 Moore Street",,,,CANBERRA,ACT,2601
01515J,QIBA Pty Ltd,SYDNEY CBD CAMPUS - Level 5,Location owned and operated by provider,"Level 5, 532-540 George Street",,,,Sydney,NSW,2000
01529C,The Lake Joondalup Baptist College Inc,Lake Joondalup Baptist College,Location owned and operated by provider,Kennedya Dr,,,,JOONDALUP,WA,6027
01532G,Hillsong College Ltd,Hillsong Church (Castle Hill) (RTO Operations),Location owned and operated by provider,1 Solent Cct,,,,BAULKHAM HILLS,NSW,2153
01532G,Hillsong College Ltd,Hillsong Church (Waterloo) (RTO Operations),Location owned and operated by provider,188 Young St,,,,WATERLOO,NSW,2017
01532G,Hillsong College Ltd,Hillsong Church Ltd (Alexandria) (RTO Operations),Location owned and operated by provider,138 Bourke Rd,,,Unit 2,ALEXANDRIA,NSW,2015
01535E,The Anglican Church of Australia Collegiate School of Saint Peter,St Peter's College,Location owned and operated by provider,57 Hackney Rd,,,,ST PETERS,SA,5069
01536D,Prescott College Southern,Prescott College Southern,Location owned and operated by provider,140 Pimpala Rd,,,,MORPHETT VALE,SA,5162
01544D,Actors College of Theatre and Television Pty Ltd,Level 1 11-13 Aird St PARRAMATTA,Location owned and operated by provider,Level 1 and 2,11-13 Aird St,,,Parramatta,NSW,2150
01545C,Melbourne Institute of Technology Pty Ltd,"288 La Trobe St, Melbourne",Location owned and operated by provider,288 La Trobe St,,,,Melbourne,VIC,3000
01545C,Melbourne Institute of Technology Pty Ltd,MIT Sydney Language Centre (ELICOS Operations) (Sussex Street),Location owned and operated by provider,Levels 1 to 7,154 Sussex St,,,SYDNEY,NSW,2000
01551E,Australian National Memorial Theatre Ltd,Australian National Memorial Theatre Ltd,Location owned and operated by provider,20 Carlisle St,,,,ST KILDA,VIC,3182
01552D,Basair Australia Pty Ltd,23-25 Airport Avenue Bankstown Airport,Location owned and operated by provider,23 Airport Ave,,,,BANKSTOWN,NSW,2200
01552D,Basair Australia Pty Ltd,"Building 9 Grenier Drive, Archerfield Airport",Location owned and operated by provider,210 Qantas Ave,,,Building 9,ARCHERFIELD,QLD,4108
01576G,Sydney Institute of Business and Technology Pty Ltd,255 Elizabeth Street,Location owned and operated by provider,255 Elizabeth St,"Level 1,2,4,8",,,SYDNEY,NSW,2000
01577F,Australian Baptist Education Inc,Quinns Baptist College Inc,Location owned and operated by provider,Corner Anchorage Dr & Marmion Ave,,,,Quinns Rocks,WA,6030
01589B,Baptist Business College Ltd,Baulkham Hills,Location owned and operated by provider,2 Columbia Ct,,,,BAULKHAM HILLS,NSW,2153
01590J,Melbourne Institute of Business & Technology Pty Ltd,Deakin College - Burwood Campus,Location owned and operated by provider,70 Elgar Rd,,,,BURWOOD,VIC,3125
01590J,Melbourne Institute of Business & Technology Pty Ltd,Deakin College - Geelong Waterfront Campus,Location owned and operated by provider,1 Gheringhap St,,,,Geelong,VIC,3220
01590J,Melbourne Institute of Business & Technology Pty Ltd,Deakin College - Waurn Ponds Campus,Location owned and operated by provider,75 Pigdons Rd,Level 4,,,Highton ,VIC,3216
01592G,The Corporation of the Synod of the Diocese of Brisbane - Fraser Coast Anglican College,Fraser Coast Anglican College,Location owned and operated by provider,Doolong South Rd,,,,HERVEY BAY,QLD,4655
01595D,University of the Sunshine Coast,UniSC Adelaide,Arrangement with other registered provider,182 Victoria Square,,,,Adelaide,SA,5000
01595D,University of the Sunshine Coast,UniSC Caboolture,Location owned and operated by provider,80106 Tallon Street,,,,Caboolture,QLD,4510
01595D,University of the Sunshine Coast,UniSC Fraser Coast,Location owned and operated by provider,161 Old Maryborough Rd,,,,Hervey Bay,QLD,4655
01595D,University of the Sunshine Coast,UniSC Gympie,Location owned and operated by provider,71 Cartwright Rd,,,,Gympie,QLD,4570
01595D,University of the Sunshine Coast,UniSC Moreton Bay,Location owned and operated by provider,1 Moreton Parade,,,,Petrie,QLD,4502
01595D,University of the Sunshine Coast,UniSC Sunshine Coast,Location owned and operated by provider,90 Sippy Downs Drive,,,,SIPPY DOWNS,QLD,4556
01600A,Queensland College of Dance,26 Glentanna St KEDRON QLD 4031,Location owned and operated by provider,26 Glentanna St,,,,Kedron,QLD,4031
01609C,Canterbury College Limited,Canterbury College Limited,Location owned and operated by provider,Old Logan Village Rd,,,,WATERFORD,QLD,4133
01611J,Prescott College,Prescott College,Location owned and operated by provider,2 Koonga Ave,,,,PROSPECT,SA,5082
01632D,Sunshine Coast English College Pty Ltd,6 Lanyana Way Noosa Heads,Location owned and operated by provider,6 Lanyana Way,,,,NOOSA HEADS,QLD,4567
