region,total,lat,lon,state,remoteness,n_government,n_catholic,n_independent,dominant_sector
Queanbeyan,21,-35.3777,149.329,NSW,Major Cities,17,3,1,Government
Redcliffe,17,-27.2301,153.0932,QLD,Major Cities,9,3,5,Government
Richmond - Windsor,17,-33.6116,150.7691,NSW,Major Cities,11,4,2,Government
Richmond Valley - Coastal,47,-28.7579,153.5014,NSW,Inner Regional,32,7,8,Government
Richmond Valley - Hinterland,66,-28.7557,153.1737,NSW,Inner Regional,48,7,11,Government
Robina,14,-28.0666,153.389,QLD,Major Cities,4,3,7,Independent
Rockhampton,64,-23.337,150.5288,QLD,Inner Regional,41,14,9,Government
Rockingham,57,-32.3327,115.7665,WA,Major Cities,39,4,14,Government
Rocklea - Acacia Ridge,15,-27.6078,153.0324,QLD,Major Cities,8,2,5,Government
Rouse Hill - McGraths Hill,20,-33.6453,150.9112,NSW,Major Cities,12,3,5,Government
Ryde - Hunters Hill,45,-33.8067,151.113,NSW,Major Cities,23,11,11,Government
Salisbury,45,-34.7876,138.6365,SA,Major Cities,34,3,8,Government
Sandgate,23,-27.328,153.0476,QLD,Major Cities,11,8,4,Government
Serpentine - Jarrahdale,13,-32.2608,115.9983,WA,Major Cities,9,1,3,Government
Shepparton,53,-36.3806,145.3959,VIC,Inner Regional,36,8,9,Government
Sherwood - Indooroopilly,16,-27.5195,152.9811,QLD,Major Cities,8,5,3,Government
Shoalhaven,41,-34.9718,150.5959,NSW,Inner Regional,30,3,8,Government
Snowy Mountains,20,-36.4076,149.007,NSW,Inner Regional,12,3,5,Government
Sorell - Dodges Ferry,8,-42.8123,147.5875,TAS,Inner Regional,4,1,3,Government
South Canberra,16,-35.3252,149.1269,ACT,Major Cities,8,3,5,Government
South Coast,38,-36.4321,149.964,NSW,Outer Regional,28,5,5,Government
South East Coast,5,-42.4328,147.9822,TAS,Outer Regional,5,0,0,Government
South Perth,17,-31.9967,115.8715,WA,Major Cities,9,4,4,Government
Southern Highlands,30,-34.5213,150.4147,NSW,Inner Regional,19,3,8,Government
Southport,18,-27.9732,153.3947,QLD,Major Cities,8,3,7,Government
Springfield - Redbank,35,-27.6461,152.8848,QLD,Major Cities,21,4,10,Government
Springwood - Kingston,32,-27.6387,153.1195,QLD,Major Cities,18,3,11,Government
St Marys,18,-33.7821,150.7848,NSW,Major Cities,15,2,1,Government
Stirling,71,-31.8825,115.8256,WA,Major Cities,45,13,13,Government
