"ACARA SML ID","School Name","Suburb","State","Postcode","School Sector","School Type","ICSEA Percentile","CRICOS Status","CRICOS Registered","Jitter","Match Type","CRICOS Provider Code","CRICOS Institution","CRICOS Location"
"49844","King's Baptist Grammar School","Wynn Vale","SA","5127","Independent","Combined","81","Not registered","0","0.0134","","","",""
"49846","Hope Christian College","Craigmore","SA","5114","Independent","Combined","37","Not registered","0","0.0708","","","",""
"49847","Bethany Christian School Incorporated","Paralowie","SA","5108","Independent","Primary","45","Not registered","0","0.0995","","","",""
"49848","Navigator College","Port Lincoln","SA","5606","Independent","Combined","53","Not registered","0","0.1282","","","",""
"49849","Pilgrim School","Aberfoyle Park","SA","5159","Independent","Primary","87","Not registered","0","0.1569","","","",""
"49850","Tyndale Christian School","Salisbury East","SA","5109","Independent","Combined","54","Not registered","0","0.1856","","","",""
"49851","Pedare Christian College","Golden Grove","SA","5125","Independent","Combined","83","Not registered","0","0.2143","","","",""
"49852","Rivergum Christian College","Glossop","SA","5344","Independent","Combined","50","Not registered","0","0.2431","","","",""
"49853","Horizon Christian School","Balaklava","SA","5461","Independent","Combined","42","Not registered","0","0.2718","","","",""
"49854","OneSchool Global SA","Aberfoyle Park","SA","5159","Independent","Combined","39","Not registered","0","0.3005","","","",""
"49855","Tatachilla Lutheran College","Mclaren Vale","SA","5171","Independent","Combined","75","Not registered","0","0.3292","","","",""
"49857","Endeavour College","Mawson Lakes","SA","5095","Independent","Secondary","79","Not registered","0","-0.3334","","","",""
"49858","St John's Grammar School","Belair","SA","5052","Independent","Combined","94","Not registered","0","-0.3047","","","",""
"49859","St Andrew's School","Walkerville","SA","5081","Independent","Primary","99","Not registered","0","-0.276","","","",""
"49860","St Peter's Woodlands Grammar School","Glenelg","SA","5045","Independent","Primary","93","Not registered","0","-0.2473","","","",""
"49861","Encounter Lutheran College","Victor Harbor","SA","5211","Independent","Combined","67","Not registered","0","-0.2186","","","",""
"49862","Mid North Christian College","Port Pirie","SA","5540","Independent","Combined","46","Not registered","0","-0.1899","","","",""
"49864","Good Shepherd Lutheran School - Angaston","Angaston","SA","5353","Independent","Primary","66","Not registered","0","-0.1325","","","",""
"49865","St John's Lutheran School","Eudunda","SA","5374","Independent","Primary","54","Not registered","0","-0.1038","","","",""
"49866","St Michael's Lutheran School, Hahndorf Inc","Hahndorf","SA","5245","Independent","Primary","84","Not registered","0","-0.0751","","","",""
"49868","Redeemer Lutheran School","Nuriootpa","SA","5355","Independent","Primary","67","Not registered","0","-0.0176","","","",""
"49869","Lobethal Lutheran School","Lobethal","SA","5241","Independent","Primary","62","Not registered","0","0.0111","","","",""
"49870","Loxton Lutheran School","Loxton","SA","5333","Independent","Primary","58","Not registered","0","0.0398","","","",""
"49871","St Jakobi Lutheran School","Lyndoch","SA","5351","Independent","Primary","60","Not registered","0","0.0685","","","",""
"49872","Maitland Lutheran School","Maitland","SA","5573","Independent","Combined","39","Not registered","0","0.0972","","","",""
"49875","Prescott Primary School, Northern","Para Vista","SA","5093","Independent","Primary","80","Not registered","0","0.1833","","","",""
"49876","St Paul Lutheran School","Blair Athol","SA","5084","Independent","Primary","73","Not registered","0","0.212","","","",""
"49877","Suneden Specialist School","Mitchell Park","SA","5043","Independent","Special","74","Not registered","0","0.2407","","","",""
"49881","Investigator College","Victor Harbor","SA","5211","Independent","Combined","74","Not registered","0","0.3555","","","",""
"49882","Amaroo School","Amaroo","ACT","2914","Government","Combined","76","CRICOS registered","1","-0.3357","Location name, state and postcode","00643J","ACT Education Directorate","Amaroo School"
